time,P_tank1,P_tank2,P_tank3,P_tank4,P_tank5,P_tank6,P_tank7,P_tank8,P_tank9,P_tank10
109.0,3560.962838179897,3758.8146943884344,3956.8453694788864,4155.011284978589,4353.277357582481,4551.477847029655,4749.744513024103,4947.990867338131,5146.169437998105,5344.341816288704
110.0,3561.515478190689,3759.3483154116807,3957.3614808051166,4155.511028280789,4353.761574996548,4551.945872795521,4750.196734969904,4948.427431458466,5146.58951099793,5344.7453160703535
111.0,3562.0679994609823,3759.8818297726057,3957.8774952782883,4156.010682817833,4354.245710393944,4552.413822185771,4750.648885519903,4948.8639286024,5147.009520924276,5345.148756224697
112.0,3562.6204020487226,3760.4152375175786,3958.393412936268,4156.5102486211,4354.729763800992,4552.88169522315,4751.1009646938255,4949.30035878695,5147.429467792001,5345.552136764424
113.0,3563.1726860118647,3760.9485386930323,3958.909233816897,4157.009725722075,4355.2137352439495,4553.349491930533,4751.552972511438,4949.736722029111,5147.849351615921,5345.955457702203
114.0,3563.7248514083044,3761.4817333452784,3959.424957958032,4157.509114152027,4355.697624749455,4553.817212330773,4752.004908992486,4950.173018345959,5148.26917241081,5346.358719050723
115.0,3564.276898295846,3762.0148215206323,3959.940585397511,4158.008413942344,4356.181432343588,4554.284856446614,4752.456774156762,4950.609247754343,5148.688930191527,5346.761920822695
116.0,3564.8288267322623,3762.5478032653396,3960.456116172965,4158.507625124314,4356.665158052745,4554.752424300857,4752.908568023928,4951.045410271002,5149.108624972846,5347.16506303073
117.0,3565.380636775248,3763.0806786256558,3960.9715503221873,4159.006747729247,4357.148801903218,4555.219915916203,4753.360290613757,4951.481505913614,5149.5282567695795,5347.568145687483
118.0,3565.9323284824554,3763.6134476477578,3961.4868878829866,4159.505781788394,4357.632363921253,4555.687331315535,4753.811941945904,4951.9175346990805,5149.947825596528,5347.971168805637
119.0,3566.4839019115434,3764.1461103778643,3962.002128893008,4160.0047273329465,4358.1158441330845,4556.154670521559,4754.263522040083,4952.353496644271,5150.367331468291,5348.374132397879
120.0,3567.0353571200567,3764.6786668621817,3962.517273389915,4160.503584394306,4358.599242564933,4556.621933556981,4754.71503091598,4952.789391766027,5150.786774399973,5348.7770364767985
121.0,3567.586694165484,3765.211117146945,3963.0323214112564,4161.002353003596,4359.082559243066,4557.089120444527,4755.16646859328,4953.225220081416,5151.206154406127,5349.179881055042
122.0,3568.1379131053445,3765.743461277464,3963.547272994661,4161.50103319205,4359.565794193698,4557.55623120688,4755.617835091739,4953.660981607369,5151.6254715015275,5349.582666145213
123.0,3568.68901399677,3766.2756993002677,3964.062128177683,4161.999624990784,4360.048947442989,4558.0232658667865,4756.069130430764,4954.096676360836,5152.04472570095,5349.985391759975
124.0,3569.239996897637,3766.8078312611983,3964.5768869978883,4162.498128430985,4360.532019017121,4558.49022444687,4756.520354630108,4954.5323043587005,5152.463917019112,5350.388057911916
125.0,3569.7908618649317,3767.339857206239,3965.091549492749,4162.996543543732,4361.015008942265,4558.957106969831,4756.971507709431,4954.967865617929,5152.883045470742,5350.7906646136535
126.0,3570.3416089560014,3767.8717771812035,3965.6061156997866,4163.494870360191,4361.497917244594,4559.423913458298,4757.422589688335,4955.403360155423,5153.3021110706,5351.193211877777
127.0,3570.8922382278984,3768.4035912319814,3966.120585656477,4163.993108911426,4361.980743950206,4559.890643934929,4757.873600586427,4955.838787988118,5153.721113833351,5351.5956997169105
128.0,3571.4427497377856,3768.9352994044216,3966.6349594002554,4164.491259228481,4362.463489085237,4560.35729842235,4758.324540423291,4956.274149132908,5154.140053773763,5351.998128143614
129.0,3571.99314354279,3769.4669017442816,3967.149236968506,4164.989321342437,4362.946152675763,4560.823876943157,4758.775409218516,4956.709443606671,5154.558930906544,5352.400497170474
130.0,3572.543419699897,3769.9983982972603,3967.6634183986357,4165.48729528434,4363.428734747853,4561.290379519946,4759.226206991691,4957.144671426291,5154.977745246299,5352.802806810067
131.0,3573.093578266139,3770.529789109117,3968.177503727977,4165.98518108517,4363.911235327585,4561.756806175298,4759.676933762338,4957.579832608649,5155.3964968077335,5353.2050570749725
132.0,3573.6436192984274,3771.061074225499,3968.6914929938384,4166.482978775938,4364.393654441022,4562.223156931829,4760.127589550059,4958.014927170602,5155.815185605579,5353.6072479777395
133.0,3574.1935428536813,3771.5922536920293,3969.205386233538,4166.980688387558,4364.875992114198,4562.689431812108,4760.578174374386,4958.449955129017,5156.233811654517,5354.009379530914
134.0,3574.7433489886603,3772.12332755431,3969.7191834843456,4167.478309951291,4365.358248373134,4563.155630838633,4761.028688254869,4958.884916500763,5156.652374969144,5354.411451747061
135.0,3575.293037760232,3772.654295857909,3970.2328847835115,4167.975843497501,4365.840423243825,4563.62175403397,4761.479131210964,4959.319811302672,5157.070875564216,5354.813464638711
136.0,3575.842609225049,3773.1851586483353,3970.746490168266,4168.473289057354,4366.32251675228,4564.08780142062,4761.92950326222,4959.75463955157,5157.489313454224,5355.215418218382
137.0,3576.39206343983,3773.715915971143,3971.2599996758086,4168.97064666175,4366.80452892444,4564.553773021078,4762.379804428131,4960.189401264245,5157.907688653882,5355.617312498638
138.0,3576.941400461151,3774.246567871657,3971.7734133432814,4169.467916341553,4367.286459786297,4565.019668857807,4762.830034728202,4960.624096457551,5158.3260011778475,5356.019147491973
139.0,3577.490620345676,3774.777114395352,3972.2867312078315,4169.965098127581,4367.76830936377,4565.485488953325,4763.28019418192,4961.058725148291,5158.743629753005,5356.420923210909
140.0,3578.039723149861,3775.3075555876226,3972.7999533065363,4170.462192050699,4368.250077682878,4565.951233330227,4763.730282808758,4961.493287353282,5159.160957173528,5356.822639667933
141.0,3578.5887089302055,3775.837891493757,3973.3130796764467,4170.9591981416925,4368.731764769315,4566.416902010887,4764.180300628126,4961.927783089254,5159.578222017778,5357.2242968755645
142.0,3579.1375777431203,3776.368122159096,3973.8261103547243,4171.456116431317,4369.213370649099,4566.882495017702,4764.630247659485,4962.362212373008,5159.995424300584,5357.625894846315
143.0,3579.686329645033,3776.8982476288643,3974.339045378369,4171.9529469503195,4369.694895348121,4567.34801237316,4765.080123922265,4962.796575221271,5160.412564036795,5358.027433592646
144.0,3580.234964692188,3777.428267948335,3974.851884784337,4172.449689729505,4370.176338892264,4567.813454099608,4765.529929435906,4963.2308716508915,5160.829641241154,5358.428913127066
145.0,3580.78348294089,3777.958183162658,3975.3646286096173,4172.946344799578,4370.657701307287,4568.2788202195225,4765.979664219799,4963.6651016785645,5161.2466559284985,5358.830333462027
146.0,3581.3318844473774,3778.487993317022,3975.8772768911476,4173.442912191223,4371.1389826190425,4568.74411075532,4766.429328293344,4964.09926532106,5161.663608113592,5359.231694610006
147.0,3581.8801692677607,3779.0176984565555,3976.389829665903,4173.939391935121,4371.620182853398,4569.209325729285,4766.878921676028,4964.533362595091,5162.080497811195,5359.632996583457
148.0,3582.428337458195,3779.547298626311,3976.902286970778,4174.435784061944,4372.101302036141,4569.674465163865,4767.328444386896,4964.967393517408,5162.497325036117,5360.034239394883
149.0,3582.976389074713,3780.0767938712283,3977.4146488425527,4174.9320886024825,4372.582340192981,4570.139529081343,4767.7778964457975,4965.401358104693,5162.914089803129,5360.435423056628
150.0,3583.5243241734333,3780.606184236581,3977.926915318128,4175.428305587005,4373.063297349749,4570.604517504132,4768.2272778719,4965.835256373633,5163.33079212695,5360.836547581194
151.0,3584.0721428102224,3781.1354697671927,3978.4390864343054,4175.924435046312,4373.544173532225,4571.069430454517,4768.676588684518,4966.269088340977,5163.74743202236,5361.237612981049
152.0,3584.619845041008,3781.6646505079502,3978.9511622278674,4176.4204770109645,4374.024968766129,4571.534267954773,4769.125828903021,4966.702854023408,5164.164009504028,5361.6386192686305
153.0,3585.167430921738,3782.19372650384,3979.463142735565,4176.916431511534,4374.505683077196,4571.999030027314,4769.574998546709,4967.136553437591,5164.580524586763,5362.039566456267
154.0,3585.7149005080873,3782.722697799712,3979.975027994188,4177.412298578557,4374.986316491091,4572.463716694368,4770.024097634886,4967.570186600166,5164.996977285224,5362.440454556408
155.0,3586.262253855926,3783.2515644403857,3980.4868180403773,4177.908078242536,4375.466869033503,4572.928327978231,4770.473126186895,4968.003753527889,5165.413367614191,5362.841283581529
156.0,3586.809491020925,3783.7803264706577,3980.9985129109004,4178.403770533916,4375.947340730102,4573.392863901161,4770.922084222018,4968.437254237334,5165.829695588375,5363.2420535439605
157.0,3587.356612058851,3784.3089839352556,3981.5101126423265,4178.899375483344,4376.427731606529,4573.857324485395,4771.370971759579,4968.8706887451835,5166.245961222421,5363.6427644561045
158.0,3587.9036170251625,3784.8375368789225,3982.021617271297,4179.394893121143,4376.908041688502,4574.321709753186,4771.819788818807,4969.304057068101,5166.662164531031,5364.043416330366
159.0,3588.4505059754756,3785.3659853464187,3982.5330268344555,4179.890323477797,4377.388271001621,4574.786019726763,4772.26853541898,4969.737359222639,5167.078305528896,5364.444009179162
160.0,3588.997278965368,3785.8943293822426,3983.0443413683975,4180.385666583715,4377.868419571478,4575.250254428307,4772.717211579341,4970.170595225451,5167.494384230707,5364.844543014828
161.0,3589.5439360502655,3786.4225690311177,3983.555560909567,4180.8809224693,4378.348487423697,4575.714413880162,4773.1658173191545,4970.60376509313,5167.910400651082,5365.245017849729
162.0,3590.090477285612,3786.9507043375897,3984.0666854945293,4181.376091164907,4378.828474583852,4576.178498104302,4773.614352657645,4971.036868842308,5168.326354804771,5365.645433696227
163.0,3590.6369027267315,3787.478735346198,3984.5777151598204,4181.871172700912,4379.308381077471,4576.642507123007,4774.0628176140535,4971.469906489627,5168.7422467063725,5366.045790566713
164.0,3591.1832124289963,3788.006662101508,3985.0886499418734,4182.366167107696,4379.788206930185,4577.106440958457,4774.511212207577,4971.902878051556,5169.158076370532,5366.4460884735245
165.0,3591.729406447621,3788.5344846478893,3985.599489877267,4182.861074415496,4380.267952167448,4577.570299632735,4774.95953645746,4972.335783544742,5169.573843811928,5366.846327429008
166.0,3592.275484837867,3789.0622030298487,3986.1102350021647,4183.35589465466,4380.747616814834,4578.034083168056,4775.407790382812,4972.768622985733,5169.989549045158,5367.246507445551
167.0,3592.8214476549783,3789.5898172917778,3986.620885353075,4183.85062785547,4381.227200897851,4578.497791586545,4775.855974002861,4973.201396391102,5170.405192084831,5367.646628535377
168.0,3593.367294954163,3790.1173274780344,3987.131440966381,4184.34527404815,4381.706704441731,4578.961424910229,4776.304087336808,4973.634103777387,5170.820772945572,5368.046690710915
169.0,3593.9130267901523,3790.644733632932,3987.641901878406,4184.839833262961,4382.186127472405,4579.424983161281,4776.752130403791,4974.06674516113,5171.236291641918,5368.446693984441
170.0,3594.4586432182023,3791.1720358008374,3988.152268125506,4185.334305530139,4382.6654700151,4579.888466361779,4777.20010322291,4974.499320558841,5171.651748188612,5368.846638368258
171.0,3595.004144293285,3791.699234025981,3988.6625397438825,4185.828690879851,4383.144732095282,4580.351874533809,4777.648005813331,4974.9318299870765,5172.067142600175,5369.24652387463
172.0,3595.5495300702737,3792.2263283524994,3989.1727167698796,4186.32298934235,4383.623913738347,4580.815207699382,4778.095838194202,4975.364273462361,5172.482474891164,5369.646350515929
173.0,3596.094800604036,3792.7533188246375,3989.682799239689,4186.817200947701,4384.103014969774,4581.2784658806,4778.543600384656,4975.796651001195,5172.8977450761995,5370.046118304348
